time,torque,rpm
1745773498.952605,200.0,1417.0
1745773498.992855,200.0,1366.0
1745773499.033119,200.0,1376.0
1745773499.073348,209.0,1346.0
1745773499.112279,217.0,1393.0
1745773499.152206,220.0,1381.0
1745773499.192184,217.0,1373.0
1745773499.232501,217.0,1434.0
1745773499.272747,220.0,1441.0
1745773499.312938,215.0,1452.0
1745773499.35187,217.0,1502.0
1745773499.3918,217.0,1525.0
1745773499.431915,217.0,1517.0
1745773499.472658,217.0,1553.0
1745773499.512463,217.0,1583.0
1745773499.554604,217.0,1612.0
1745773499.593395,215.0,1654.0
1745773499.631452,204.0625,1667.0
1745773499.671374,179.0625,1694.0
1745773499.711766,151.0625,1677.0
1745773499.752429,123.0625,1673.0
1745773499.792682,95.0625,1662.0
1745773499.831059,67.0625,1645.0
1745773499.870988,39.0625,1601.0
1745773499.910966,11.0625,1570.0
1745773499.951262,-0.0,1494.0
1745773499.99157,-0.0,1487.0
1745773500.031721,-0.0,1469.0
1745773500.070707,-0.0,1422.0
1745773500.110626,-0.0,1388.0
1745773500.150781,-0.0,1359.0
1745773500.190795,-0.0,1347.0
1745773500.231054,-0.0,1369.0
1745773500.271348,-0.0,1359.0
1745773500.31022,-0.0,1302.0
1745773500.350149,-0.0,1295.0
1745773500.39027,-0.0,1297.0
1745773500.430511,-0.0,1316.0
1745773500.470686,-0.0,1307.0
1745773500.51087,-0.0,1239.0
1745773500.549797,-0.0,1279.0
1745773500.589965,-0.0,1274.0
1745773500.629916,-0.0,1244.0
1745773500.67009,-0.0,1256.0
1745773500.710335,-0.0,1239.0
1745773500.750547,-0.0,1209.0
1745773500.789384,-0.0,1152.0
1745773500.829364,-0.0,1128.0
1745773500.86987,-0.0,1137.0
1745773500.910089,-0.0,1118.0
1745773500.950301,23.25,1137.0
1745773500.990199,51.25,1178.0
1745773501.028953,79.25,1223.0
1745773501.068899,107.25,1235.0
1745773501.109058,135.25,1232.0
1745773501.149308,163.25,1247.0
1745773501.18956,185.25,1282.0
1745773501.22978,204.0,1326.0
1745773501.270761,217.0,1315.0
1745773501.308562,217.0,1315.0
1745773501.348607,217.0,1321.0
1745773501.389719,217.0,1346.0
1745773501.429048,220.0,1395.0
1745773501.469286,217.0,1390.0
1745773501.508075,217.0,1394.0
1745773501.548024,217.0,1416.0
1745773501.58799,215.0,1448.0
1745773501.628241,217.0,1490.0
1745773501.668668,217.0,1522.0
1745773501.708933,217.0,1537.0
1745773501.747665,217.0,1564.0
1745773501.787603,217.0,1612.0
1745773501.827577,215.0,1636.0
1745773501.867819,217.0,1701.0
1745773501.908094,217.0,1715.0
1745773501.948504,217.0,1698.0
1745773501.987241,217.0,1710.0
1745773502.027165,217.0,1746.0
1745773502.067139,217.0,1780.0
1745773502.107394,217.0,1789.0
1745773502.147632,217.0,1805.0
1745773502.187893,217.0,1871.0
1745773502.226815,217.0,1890.0
1745773502.266738,217.0,1872.0
1745773502.306872,220.0,1938.0
1745773502.346986,209.0,1905.0
1745773502.387283,183.8125,1957.0
1745773502.427476,156.5625,2000.0
1745773502.466422,128.5625,1956.0
1745773502.506597,100.5625,1978.0
1745773502.546429,72.5625,1936.0
1745773502.587099,44.5625,1886.0
1745773502.627352,16.5625,1831.0
1745773502.667595,-0.0,1742.0
1745773502.705995,-0.0,1672.0
1745773502.746069,-0.0,1659.0
1745773502.786496,-0.0,1664.0
1745773502.826687,-0.0,1634.0
1745773502.866942,-0.0,1594.0
1745773502.906784,-0.0,1562.0
1745773502.945573,-0.0,1547.0
1745773502.985513,-0.0,1547.0
1745773503.025565,-0.0,1523.0
1745773503.065737,-0.0,1513.0
1745773503.105995,-0.0,1554.0
1745773503.146364,-0.0,1501.0
1745773503.185182,-0.0,1511.0
1745773503.22512,-0.0,1471.0
1745773503.265098,-0.0,1457.0
1745773503.305545,-0.0,1445.0
1745773503.345633,-0.0,1387.0
1745773503.38588,-0.0,1403.0
1745773503.424791,-0.0,1375.0
1745773503.464724,-0.0,1341.0
1745773503.504849,-0.0,1345.0
1745773503.544956,-0.0,1324.0
1745773503.585359,-0.0,1256.0
1745773503.625545,-0.0,1239.0
1745773503.664481,-0.0,1224.0
1745773503.70438,-0.0,1198.0
1745773503.744409,-0.0,1190.0
1745773503.784585,-0.0,1198.0
1745773503.824965,-0.0,1177.0
1745773503.865224,-0.0,1237.0
1745773503.90405,-0.0,1222.0
1745773503.944334,19.75,1217.0
1745773503.984459,47.75,1281.0
1745773504.024497,75.75,1223.0
1745773504.064575,103.75,1221.0
1745773504.104833,131.75,1230.0
1745773504.143898,159.75,1259.0
1745773504.183853,187.75,1284.0
1745773504.224183,215.75,1366.0
1745773504.264049,219.25,1388.0
1745773504.304614,220.0,1379.0
1745773504.344511,217.0,1435.0
1745773504.383342,220.0,1500.0
1745773504.423283,217.0,1540.0
1745773504.463291,217.0,1509.0
1745773504.503989,217.0,1569.0
1745773504.544314,217.0,1663.0
1745773504.584568,214.6875,1717.0
1745773504.622875,206.5,1680.0
1745773504.662797,189.0,1690.0
1745773504.703022,169.0,1730.0
1745773504.743038,167.1875,1769.0
1745773504.783281,139.1875,1758.0
1745773504.823664,111.1875,1703.0
1745773504.862452,83.1875,1651.0
1745773504.902388,55.1875,1657.0
1745773504.942913,27.1875,1567.0
1745773504.982658,-0.0,1493.0
1745773505.022868,-0.0,1401.0
1745773505.063117,-0.0,1364.0
1745773505.102055,-0.0,1329.0
1745773505.141984,-0.0,1247.0
1745773505.181967,-0.0,1312.0
1745773505.222271,-0.0,1291.0
1745773505.262473,-0.0,1232.0
1745773505.302732,-0.0,1212.0
1745773505.341661,-0.0,1178.0
1745773505.3816,-0.0,1143.0
1745773505.421578,-0.0,1124.0
1745773505.461888,-0.0,1118.0
1745773505.502098,-0.0,1107.0
1745773505.542352,-0.0,1097.0
1745773505.581287,-0.0,1078.0
1745773505.621505,-0.0,1052.0
1745773505.661754,-0.0,1044.0
1745773505.701936,-0.0,1034.0
1745773505.741821,-0.0,1003.0
1745773505.782045,-0.0,1014.0
1745773505.822336,-0.0,1026.0
1745773505.8613,-0.0,992.0
1745773505.90096,-0.0,1027.0
1745773505.941238,15.875,1008.0
1745773505.981539,43.875,1056.0
1745773506.021765,71.0625,1020.0
1745773506.060568,94.0,1106.0
1745773506.100499,99.0,1246.0
1745773506.140571,105.0,1296.0
1745773506.180926,103.0,1190.0
1745773506.221126,105.0,1154.0
1745773506.261402,120.875,1198.0
1745773506.300225,125.0,1219.0
1745773506.340147,123.0,1190.0
1745773506.38013,127.0625,1221.0
1745773506.420439,130.875,1226.0
1745773506.460705,153.0625,1283.0
1745773506.500917,180.25,1375.0
1745773506.539862,208.25,1495.0
1745773506.579799,217.0,1424.0
1745773506.619922,217.0,1332.0
1745773506.660173,217.0,1454.0
1745773506.700304,215.0,1591.0
1745773506.740555,215.0,1616.0
1745773506.779492,217.0,1564.0
1745773506.819442,215.0,1576.0
1745773506.859552,215.0,1599.0
1745773506.899815,215.0,1623.0
1745773506.940036,215.0,1668.0
1745773506.980255,217.0,1662.0
1745773507.019134,215.0,1654.0
1745773507.059068,217.0,1668.0
1745773507.099188,215.0,1673.0
1745773507.139435,215.0,1677.0
1745773507.179562,215.0,1639.0
1745773507.219952,215.0,1638.0
1745773507.260202,215.0,1614.0
1745773507.298705,217.0,1602.0
1745773507.339306,215.0,1589.0
1745773507.379205,215.0,1590.0
1745773507.419618,215.0,1643.0
1745773507.459894,215.0,1677.0
1745773507.498929,217.0,1669.0
1745773507.538831,215.0,1679.0
1745773507.578909,198.5,1699.0
1745773507.619125,170.5,1736.0
1745773507.660349,142.5,1776.0
1745773507.699506,114.5,1777.0
1745773507.740278,86.5,1738.0
1745773507.777996,58.5,1703.0
1745773507.817965,30.5,1685.0
1745773507.858457,6.0,1651.0
1745773507.899656,-0.0,1626.0
1745773507.938859,-0.0,1623.0
1745773507.977626,-0.0,1613.0
1745773508.01757,-0.0,1590.0
1745773508.057567,-0.0,1602.0
1745773508.099344,-0.0,1597.0
1745773508.138372,-0.0,1585.0
1745773508.178509,-0.0,1552.0
1745773508.217263,15.75,1575.0
1745773508.257352,40.6875,1687.0
1745773508.297168,68.6875,1715.0
1745773508.337414,81.0,1611.0
1745773508.377689,81.0,1626.0
1745773508.418012,81.0,1689.0
1745773508.458437,81.0,1637.0
1745773508.496779,79.0,1595.0
1745773508.536794,84.75,1681.0
1745773508.576991,96.0,1763.0
1745773508.617241,105.0,1835.0
1745773508.657525,105.0,1624.0
1745773508.696414,117.25,1686.0
1745773508.736349,140.0,1817.0
1745773508.776342,151.0,1916.0
1745773508.816592,132.5625,1836.0
1745773508.856828,104.5625,1938.0
1745773508.897075,114.0,1886.0
1745773508.936006,112.0,1792.0
1745773508.975927,107.0,1866.0
1745773509.016036,130.375,1745.0
1745773509.056698,132.0,1808.0
1745773509.096538,112.0,1821.0
1745773509.137162,110.0,1736.0
1745773509.175706,112.0,1796.0
1745773509.215518,114.0,1747.0
1745773509.256046,90.5625,1838.0
1745773509.295882,62.5625,1741.0
1745773509.337173,34.5625,1811.0
1745773509.376385,6.5625,1760.0
1745773509.415196,-0.0,1619.0
1745773509.455092,-0.0,1612.0
1745773509.495109,-0.0,1531.0
1745773509.53539,-0.0,1514.0
1745773509.575634,-0.0,1487.0
1745773509.61601,-0.0,1493.0
1745773509.654727,-0.0,1481.0
1745773509.694662,-0.0,1460.0
1745773509.734725,-0.0,1426.0
1745773509.774888,-0.0,1421.0
1745773509.81524,-0.0,1411.0
1745773509.855443,-0.0,1391.0
1745773509.894308,-0.0,1371.0
1745773509.934248,-0.0,1357.0
1745773509.974366,-0.0,1338.0
1745773510.014632,-0.0,1320.0
1745773510.054745,26.5625,1348.0
1745773510.09508,54.5625,1360.0
1745773510.133938,82.5625,1426.0
1745773510.173878,110.5625,1479.0
1745773510.21402,138.5625,1494.0
1745773510.254275,166.5625,1468.0
1745773510.294534,178.0,1527.0
1745773510.334699,191.0,1554.0
1745773510.373655,191.0,1588.0
1745773510.413501,191.0,1598.0
1745773510.453638,191.0,1627.0
1745773510.494135,189.0,1694.0
1745773510.53411,191.0,1712.0
1745773510.574358,191.0,1716.0
1745773510.613234,187.0,1706.0
1745773510.653108,165.1875,1717.0
1745773510.693658,137.1875,1658.0
1745773510.733439,109.1875,1534.0
1745773510.773686,84.6875,1465.0
1745773510.813965,53.1875,1406.0
1745773510.852912,25.1875,1393.0
1745773510.893919,-0.0,1348.0
1745773510.932785,-0.0,1389.0
1745773510.9735,-0.0,1386.0
1745773511.013368,-0.0,1421.0
1745773511.053947,-0.0,1403.0
1745773511.092312,-0.0,1330.0
1745773511.132293,-0.0,1326.0
1745773511.172217,-0.0,1326.0
1745773511.212463,-0.0,1294.0
1745773511.252832,-0.0,1317.0
1745773511.293564,-0.0,1312.0
1745773511.331879,-0.0,1304.0
1745773511.371801,-0.0,1280.0
1745773511.411786,-0.0,1254.0
1745773511.452023,-0.0,1300.0
1745773511.492261,-0.0,1302.0
1745773511.532517,8.75,1293.0
1745773511.57144,36.6875,1345.0
1745773511.611444,64.6875,1281.0
1745773511.65134,74.0,1253.0
1745773511.691578,79.0,1255.0
1745773511.731837,88.0,1272.0
1745773511.772089,88.0,1277.0
1745773511.810992,85.0,1280.0
1745773511.851489,77.0,1286.0
1745773511.89099,63.0625,1294.0
1745773511.931227,35.0625,1284.0
1745773511.971447,10.0625,1274.0
1745773512.011655,-0.0,1234.0
1745773512.050581,-0.0,1276.0
1745773512.09051,-0.0,1280.0
1745773512.130997,-0.0,1252.0
1745773512.170839,8.875,1281.0
1745773512.211092,23.875,1291.0
1745773512.251267,51.875,1312.0
1745773512.290183,79.875,1361.0
1745773512.330118,85.0,1344.0
1745773512.370622,94.0,1381.0
1745773512.412308,112.0,1414.0
1745773512.450765,110.0,1422.0
1745773512.491395,112.0,1410.0
1745773512.53124,118.0,1449.0
1745773512.569772,121.0,1448.0
1745773512.609896,121.0,1451.0
1745773512.650113,123.0,1433.0
1745773512.690891,123.0,1416.0
1745773512.731323,123.0,1402.0
1745773512.769435,118.0,1406.0
1745773512.80937,118.0,1426.0
1745773512.849483,116.0,1440.0
1745773512.889693,100.875,1457.0
1745773512.929959,72.875,1465.0
1745773512.970247,44.875,1454.0
1745773513.009035,16.875,1432.0
1745773513.048963,-0.0,1405.0
1745773513.089073,-0.0,1432.0
1745773513.129326,-0.0,1459.0
1745773513.169611,-0.0,1470.0
1745773513.209825,9.25,1426.0
1745773513.250047,36.25,1487.0
1745773513.288599,64.25,1560.0
1745773513.328771,92.25,1611.0
1745773513.369138,120.25,1493.0
1745773513.409196,125.0,1496.0
1745773513.449466,132.0,1498.0
1745773513.488362,129.0,1494.0
1745773513.528255,129.0,1494.0
1745773513.568413,125.0,1508.0
1745773513.608554,116.0,1503.0
1745773513.648797,97.6875,1502.0
1745773513.689067,73.6875,1503.0
1745773513.728936,45.6875,1505.0
1745773513.767825,17.6875,1487.0
1745773513.808318,-0.0,1455.0
1745773513.848187,-0.0,1422.0
1745773513.888464,-0.0,1389.0
1745773513.928883,-0.0,1367.0
1745773513.968897,-0.0,1387.0
1745773514.007378,-0.0,1373.0
1745773514.047905,-0.0,1350.0
1745773514.088247,-0.0,1348.0
1745773514.128517,-0.0,1373.0
1745773514.168239,-0.0,1382.0
1745773514.207075,-0.0,1319.0
1745773514.246963,-0.0,1333.0
1745773514.287065,8.0,1335.0
1745773514.327781,22.0,1397.0
1745773514.367621,22.0,1353.0
1745773514.409388,24.0,1343.0
1745773514.446593,22.0,1407.0
1745773514.486525,16.75,1398.0
1745773514.526492,8.0,1365.0
1745773514.566739,-0.0,1295.0
1745773514.606983,-0.0,1247.0
1745773514.647223,-0.0,1276.0
1745773514.68614,-0.0,1248.0
1745773514.726065,-0.0,1273.0
1745773514.766041,-0.0,1249.0
1745773514.806335,-0.0,1232.0
1745773514.846533,-0.0,1228.0
1745773514.886782,-0.0,1203.0
1745773514.925695,-0.0,1134.0
1745773514.96562,-0.0,1116.0
1745773515.005638,-0.0,1127.0
1745773515.045957,-0.0,1165.0
1745773515.086097,-0.0,1156.0
1745773515.12635,-0.0,1137.0
1745773515.16528,-0.0,1121.0
1745773515.205391,19.375,1129.0
1745773515.245287,47.375,1159.0
1745773515.285548,75.375,1259.0
1745773515.325686,103.375,1293.0
1745773515.365938,131.375,1300.0
1745773515.404867,140.0,1260.0
1745773515.444796,143.0,1233.0
1745773515.484906,143.0,1217.0
1745773515.525151,143.0,1227.0
1745773515.565762,140.0,1206.0
1745773515.605993,143.0,1172.0
1745773515.646283,140.0,1148.0
1745773515.684888,145.0,1165.0
1745773515.724462,147.0,1163.0
1745773515.765374,147.0,1196.0
1745773515.80567,147.0,1192.0
1745773515.845657,145.0,1221.0
1745773515.884075,138.0,1236.0
1745773515.923979,137.375,1237.0
1745773515.964075,128.5625,1253.0
1745773516.004432,108.375,1267.0
1745773516.044505,103.0,1294.0
1745773516.084854,93.375,1306.0
1745773516.123655,66.375,1301.0
1745773516.163587,57.0,1340.0
1745773516.203714,42.375,1359.0
1745773516.243972,24.0,1321.0
1745773516.284243,27.5625,1257.0
1745773516.324467,35.0,1294.0
1745773516.363282,46.5625,1333.0
1745773516.403197,68.5625,1326.0
1745773516.443316,81.0,1297.0
1745773516.483584,88.0,1338.0
1745773516.523808,101.0,1319.0
1745773516.564077,112.0,1427.0
1745773516.602979,110.0,1371.0
1745773516.642906,110.0,1447.0
1745773516.682888,112.0,1448.0
1745773516.723153,112.0,1439.0
1745773516.763404,116.0,1484.0
1745773516.803655,123.75,1477.0
1745773516.84244,129.0,1516.0
1745773516.882615,137.5625,1502.0
1745773516.922804,152.75,1507.0
